#EMOJI,TITLE,CATEGORY,CODEPOINT,PARENTCODEPOINT,ANNOTATIONS,BRI,VERSION
🧑🏼,adult,SMILEYS & PEOPLE,U+1F9D1 U+1F3FC,U+1F9D1,gender-neutral;(no specific gender),,11.1
🧑🏽,adult,SMILEYS & PEOPLE,U+1F9D1 U+1F3FD,U+1F9D1,gender-neutral;(no specific gender),,11.1
🧑🏾,adult,SMILEYS & PEOPLE,U+1F9D1 U+1F3FE,U+1F9D1,gender-neutral;(no specific gender),,11.1
🧑🏿,adult,SMILEYS & PEOPLE,U+1F9D1 U+1F3FF,U+1F9D1,gender-neutral;(no specific gender),,11.1
👨,Man,SMILEYS & PEOPLE,U+1F468,U+1F468,man;person,male;guy,9
👨🏻,Man +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F468 U+1F3FB,U+1F468,man;person,male;guy,9
👨🏼,Man +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F468 U+1F3FC,U+1F468,man;person,male;guy,9
👨🏽,Man +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F468 U+1F3FD,U+1F468,man;person,male;guy,9
👨🏾,Man +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F468 U+1F3FE,U+1F468,man;person,male;guy,9
👨🏿,Man +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F468 U+1F3FF,U+1F468,man;person,male;guy,9
👩‍🦱,woman: curly hair,SMILEYS & PEOPLE,U+1F469 U+200D U+1F9B1,U+1F469 U+200D U+1F9B1,adult;curly hair;woman,curly;hair;,12.1
👩🏻‍🦱,woman: curly hair,SMILEYS & PEOPLE,U+1F469 U+1F3FB U+200D U+1F9B1,U+1F469 U+200D U+1F9B1,adult;curly hair;woman,curly;hair;,12.1
👩🏼‍🦱,woman: curly hair,SMILEYS & PEOPLE,U+1F469 U+1F3FC U+200D U+1F9B1,U+1F469 U+200D U+1F9B1,adult;curly hair;woman,curly;hair;,12.1
👩🏽‍🦱,woman: curly hair,SMILEYS & PEOPLE,U+1F469 U+1F3FD U+200D U+1F9B1,U+1F469 U+200D U+1F9B1,adult;curly hair;woman,curly;hair;,12.1
👩🏾‍🦱,woman: curly hair,SMILEYS & PEOPLE,U+1F469 U+1F3FE U+200D U+1F9B1,U+1F469 U+200D U+1F9B1,adult;curly hair;woman,curly;hair;,12.1
👩🏿‍🦱,woman: curly hair,SMILEYS & PEOPLE,U+1F469 U+1F3FF U+200D U+1F9B1,U+1F469 U+200D U+1F9B1,adult;curly hair;woman,curly;hair;,12.1
👨‍🦱,man: curly hair,SMILEYS & PEOPLE,U+1F468 U+200D U+1F9B1,U+1F468 U+200D U+1F9B1,adult;curly hair;man,curly;hair;,12.1
👨🏻‍🦱,man: curly hair,SMILEYS & PEOPLE,U+1F468 U+1F3FB U+200D U+1F9B1,U+1F468 U+200D U+1F9B1,adult;curly hair;man,curly;hair;,12.1
👨🏼‍🦱,man: curly hair,SMILEYS & PEOPLE,U+1F468 U+1F3FC U+200D U+1F9B1,U+1F468 U+200D U+1F9B1,adult;curly hair;man,curly;hair;,12.1
👨🏽‍🦱,man: curly hair,SMILEYS & PEOPLE,U+1F468 U+1F3FD U+200D U+1F9B1,U+1F468 U+200D U+1F9B1,adult;curly hair;man,curly;hair;,12.1
👨🏾‍🦱,man: curly hair,SMILEYS & PEOPLE,U+1F468 U+1F3FE U+200D U+1F9B1,U+1F468 U+200D U+1F9B1,adult;curly hair;man,curly;hair;,12.1
👨🏿‍🦱,man: curly hair,SMILEYS & PEOPLE,U+1F468 U+1F3FF U+200D U+1F9B1,U+1F468 U+200D U+1F9B1,adult;curly hair;man,curly;hair;,12.1
👩‍🦰,woman: red hair,SMILEYS & PEOPLE,U+1F469 U+200D U+1F9B0,U+1F469 U+200D U+1F9B0,adult;red hair;woman,red;,12.1
👩🏻‍🦰,woman: red hair,SMILEYS & PEOPLE,U+1F469 U+1F3FB U+200D U+1F9B0,U+1F469 U+200D U+1F9B0,adult;red hair;woman,red;,12.1
👩🏼‍🦰,woman: red hair,SMILEYS & PEOPLE,U+1F469 U+1F3FC U+200D U+1F9B0,U+1F469 U+200D U+1F9B0,adult;red hair;woman,red;,12.1
👩🏽‍🦰,woman: red hair,SMILEYS & PEOPLE,U+1F469 U+1F3FD U+200D U+1F9B0,U+1F469 U+200D U+1F9B0,adult;red hair;woman,red;,12.1
👩🏾‍🦰,woman: red hair,SMILEYS & PEOPLE,U+1F469 U+1F3FE U+200D U+1F9B0,U+1F469 U+200D U+1F9B0,adult;red hair;woman,red;,12.1
👩🏿‍🦰,woman: red hair,SMILEYS & PEOPLE,U+1F469 U+1F3FF U+200D U+1F9B0,U+1F469 U+200D U+1F9B0,adult;red hair;woman,red;,12.1
👨‍🦰,man: red hair,SMILEYS & PEOPLE,U+1F468 U+200D U+1F9B0,U+1F468 U+200D U+1F9B0,adult;man;red hair,red;,12.1
👨🏻‍🦰,man: red hair,SMILEYS & PEOPLE,U+1F468 U+1F3FB U+200D U+1F9B0,U+1F468 U+200D U+1F9B0,adult;man;red hair,red;,12.1
👨🏼‍🦰,man: red hair,SMILEYS & PEOPLE,U+1F468 U+1F3FC U+200D U+1F9B0,U+1F468 U+200D U+1F9B0,adult;man;red hair,red;,12.1
👨🏽‍🦰,man: red hair,SMILEYS & PEOPLE,U+1F468 U+1F3FD U+200D U+1F9B0,U+1F468 U+200D U+1F9B0,adult;man;red hair,red;,12.1
👨🏾‍🦰,man: red hair,SMILEYS & PEOPLE,U+1F468 U+1F3FE U+200D U+1F9B0,U+1F468 U+200D U+1F9B0,adult;man;red hair,red;,12.1
👨🏿‍🦰,man: red hair,SMILEYS & PEOPLE,U+1F468 U+1F3FF U+200D U+1F9B0,U+1F468 U+200D U+1F9B0,adult;man;red hair,red;,12.1
👱‍♀️,Blond Woman,SMILEYS & PEOPLE,U+1F471 U+200D U+2640 U+FE0F,U+1F471 U+200D U+2640 U+FE0F,blone;person;woman,female;girl,9
👱🏻‍♀️,Blond Woman,SMILEYS & PEOPLE,U+1F471 U+1F3FB U+200D U+2640 U+FE0F,U+1F471 U+200D U+2640 U+FE0F,blone;person;woman,female;girl,9
👱🏼‍♀️,Blond Woman,SMILEYS & PEOPLE,U+1F471 U+1F3FC U+200D U+2640 U+FE0F,U+1F471 U+200D U+2640 U+FE0F,blone;person;woman,female;girl,9
👱🏽‍♀️,Blond Woman,SMILEYS & PEOPLE,U+1F471 U+1F3FD U+200D U+2640 U+FE0F,U+1F471 U+200D U+2640 U+FE0F,blone;person;woman,female;girl,9
👱🏾‍♀️,Blond Woman,SMILEYS & PEOPLE,U+1F471 U+1F3FE U+200D U+2640 U+FE0F,U+1F471 U+200D U+2640 U+FE0F,blone;person;woman,female;girl,9
👱🏿‍♀️,Blond Woman,SMILEYS & PEOPLE,U+1F471 U+1F3FF U+200D U+2640 U+FE0F,U+1F471 U+200D U+2640 U+FE0F,blone;person;woman,female;girl,9
👱‍♂️,blond-haired man,SMILEYS & PEOPLE,U+1F471 U+200D U+2642 U+FE0F,U+1F471 U+200D U+2642 U+FE0F,blond;man,,11.1
👱🏻‍♂️,blond-haired man,SMILEYS & PEOPLE,U+1F471 U+1F3FB U+200D U+2642 U+FE0F,U+1F471 U+200D U+2642 U+FE0F,blond;man,,11.1
👱🏼‍♂️,blond-haired man,SMILEYS & PEOPLE,U+1F471 U+1F3FC U+200D U+2642 U+FE0F,U+1F471 U+200D U+2642 U+FE0F,blond;man,,11.1
👱🏽‍♂️,blond-haired man,SMILEYS & PEOPLE,U+1F471 U+1F3FD U+200D U+2642 U+FE0F,U+1F471 U+200D U+2642 U+FE0F,blond;man,,11.1
👱🏾‍♂️,blond-haired man,SMILEYS & PEOPLE,U+1F471 U+1F3FE U+200D U+2642 U+FE0F,U+1F471 U+200D U+2642 U+FE0F,blond;man,,11.1
👱🏿‍♂️,blond-haired man,SMILEYS & PEOPLE,U+1F471 U+1F3FF U+200D U+2642 U+FE0F,U+1F471 U+200D U+2642 U+FE0F,blond;man,,11.1
👩‍🦳,woman: white hair,SMILEYS & PEOPLE,U+1F469 U+200D U+1F9B3,U+1F469 U+200D U+1F9B3,adult;white hair;woman,elder;old;,12.1
👩🏻‍🦳,woman: white hair,SMILEYS & PEOPLE,U+1F469 U+1F3FB U+200D U+1F9B3,U+1F469 U+200D U+1F9B3,adult;white hair;woman,elder;old;,12.1
👩🏼‍🦳,woman: white hair,SMILEYS & PEOPLE,U+1F469 U+1F3FC U+200D U+1F9B3,U+1F469 U+200D U+1F9B3,adult;white hair;woman,elder;old;,12.1
👩🏽‍🦳,woman: white hair,SMILEYS & PEOPLE,U+1F469 U+1F3FD U+200D U+1F9B3,U+1F469 U+200D U+1F9B3,adult;white hair;woman,elder;old;,12.1
👩🏾‍🦳,woman: white hair,SMILEYS & PEOPLE,U+1F469 U+1F3FE U+200D U+1F9B3,U+1F469 U+200D U+1F9B3,adult;white hair;woman,elder;old;,12.1
👩🏿‍🦳,woman: white hair,SMILEYS & PEOPLE,U+1F469 U+1F3FF U+200D U+1F9B3,U+1F469 U+200D U+1F9B3,adult;white hair;woman,elder;old;,12.1
👨‍🦳,man: white hair,SMILEYS & PEOPLE,U+1F468 U+200D U+1F9B3,U+1F468 U+200D U+1F9B3,adult;man;white hair,elder;old;,12.1
👨🏻‍🦳,man: white hair,SMILEYS & PEOPLE,U+1F468 U+1F3FB U+200D U+1F9B3,U+1F468 U+200D U+1F9B3,adult;man;white hair,elder;old;,12.1
👨🏼‍🦳,man: white hair,SMILEYS & PEOPLE,U+1F468 U+1F3FC U+200D U+1F9B3,U+1F468 U+200D U+1F9B3,adult;man;white hair,elder;old;,12.1
👨🏽‍🦳,man: white hair,SMILEYS & PEOPLE,U+1F468 U+1F3FD U+200D U+1F9B3,U+1F468 U+200D U+1F9B3,adult;man;white hair,elder;old;,12.1
👨🏾‍🦳,man: white hair,SMILEYS & PEOPLE,U+1F468 U+1F3FE U+200D U+1F9B3,U+1F468 U+200D U+1F9B3,adult;man;white hair,elder;old;,12.1
👨🏿‍🦳,man: white hair,SMILEYS & PEOPLE,U+1F468 U+1F3FF U+200D U+1F9B3,U+1F468 U+200D U+1F9B3,adult;man;white hair,elder;old;,12.1
👩‍🦲,woman: bald,SMILEYS & PEOPLE,U+1F469 U+200D U+1F9B2,U+1F469 U+200D U+1F9B2,adult;bald;woman,bald;,12.1
👩🏻‍🦲,woman: bald,SMILEYS & PEOPLE,U+1F469 U+1F3FB U+200D U+1F9B2,U+1F469 U+200D U+1F9B2,adult;bald;woman,bald;,12.1
👩🏼‍🦲,woman: bald,SMILEYS & PEOPLE,U+1F469 U+1F3FC U+200D U+1F9B2,U+1F469 U+200D U+1F9B2,adult;bald;woman,bald;,12.1
👩🏽‍🦲,woman: bald,SMILEYS & PEOPLE,U+1F469 U+1F3FD U+200D U+1F9B2,U+1F469 U+200D U+1F9B2,adult;bald;woman,bald;,12.1
👩🏾‍🦲,woman: bald,SMILEYS & PEOPLE,U+1F469 U+1F3FE U+200D U+1F9B2,U+1F469 U+200D U+1F9B2,adult;bald;woman,bald;,12.1
👩🏿‍🦲,woman: bald,SMILEYS & PEOPLE,U+1F469 U+1F3FF U+200D U+1F9B2,U+1F469 U+200D U+1F9B2,adult;bald;woman,bald;,12.1
👨‍🦲,man: bald,SMILEYS & PEOPLE,U+1F468 U+200D U+1F9B2,U+1F468 U+200D U+1F9B2,adult;bald;man,bald;,12.1
👨🏻‍🦲,man: bald,SMILEYS & PEOPLE,U+1F468 U+1F3FB U+200D U+1F9B2,U+1F468 U+200D U+1F9B2,adult;bald;man,bald;,12.1
👨🏼‍🦲,man: bald,SMILEYS & PEOPLE,U+1F468 U+1F3FC U+200D U+1F9B2,U+1F468 U+200D U+1F9B2,adult;bald;man,bald;,12.1
👨🏽‍🦲,man: bald,SMILEYS & PEOPLE,U+1F468 U+1F3FD U+200D U+1F9B2,U+1F468 U+200D U+1F9B2,adult;bald;man,bald;,12.1
👨🏾‍🦲,man: bald,SMILEYS & PEOPLE,U+1F468 U+1F3FE U+200D U+1F9B2,U+1F468 U+200D U+1F9B2,adult;bald;man,bald;,12.1
👨🏿‍🦲,man: bald,SMILEYS & PEOPLE,U+1F468 U+1F3FF U+200D U+1F9B2,U+1F468 U+200D U+1F9B2,adult;bald;man,bald;,12.1
🧔,bearded person,SMILEYS & PEOPLE,U+1F9D4,U+1F9D4,beard;bewhiskered,,11.1
🧔🏻,bearded person,SMILEYS & PEOPLE,U+1F9D4 U+1F3FB,U+1F9D4,beard;bewhiskered,,11.1
🧔🏼,bearded person,SMILEYS & PEOPLE,U+1F9D4 U+1F3FC,U+1F9D4,beard;bewhiskered,,11.1
🧔🏽,bearded person,SMILEYS & PEOPLE,U+1F9D4 U+1F3FD,U+1F9D4,beard;bewhiskered,,11.1
🧔🏾,bearded person,SMILEYS & PEOPLE,U+1F9D4 U+1F3FE,U+1F9D4,beard;bewhiskered,,11.1
🧔🏿,bearded person,SMILEYS & PEOPLE,U+1F9D4 U+1F3FF,U+1F9D4,beard;bewhiskered,,11.1
👵,Older Woman,SMILEYS & PEOPLE,U+1F475,U+1F475,old;person;woman,elderly;grandma,9
👵🏻,Older Woman +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F475 U+1F3FB,U+1F475,old;person;woman,elderly;grandma,9
👵🏼,Older Woman +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F475 U+1F3FC,U+1F475,old;person;woman,elderly;grandma,9
👵🏽,Older Woman +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F475 U+1F3FD,U+1F475,old;person;woman,elderly;grandma,9
👵🏾,Older Woman +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F475 U+1F3FE,U+1F475,old;person;woman,elderly;grandma,9
👵🏿,Older Woman +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F475 U+1F3FF,U+1F475,old;person;woman,elderly;grandma,9
🧓,older adult,SMILEYS & PEOPLE,U+1F9D3,U+1F9D3,gender-neutral;old;(no specific gender),,11.1
🧓🏻,older adult,SMILEYS & PEOPLE,U+1F9D3 U+1F3FB,U+1F9D3,gender-neutral;old;(no specific gender),,11.1
🧓🏼,older adult,SMILEYS & PEOPLE,U+1F9D3 U+1F3FC,U+1F9D3,gender-neutral;old;(no specific gender),,11.1
🧓🏽,older adult,SMILEYS & PEOPLE,U+1F9D3 U+1F3FD,U+1F9D3,gender-neutral;old;(no specific gender),,11.1
🧓🏾,older adult,SMILEYS & PEOPLE,U+1F9D3 U+1F3FE,U+1F9D3,gender-neutral;old;(no specific gender),,11.1
🧓🏿,older adult,SMILEYS & PEOPLE,U+1F9D3 U+1F3FF,U+1F9D3,gender-neutral;old;(no specific gender),,11.1
👴,Older Man,SMILEYS & PEOPLE,U+1F474,U+1F474,man;old;person,elderly;grandpa;,9
👴🏻,Older Man +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F474 U+1F3FB,U+1F474,man;old;person,elderly;grandpa;,9
👴🏼,Older Man +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F474 U+1F3FC,U+1F474,man;old;person,elderly;grandpa;,9
👴🏽,Older Man +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F474 U+1F3FD,U+1F474,man;old;person,elderly;grandpa;,9
👴🏾,Older Man +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F474 U+1F3FE,U+1F474,man;old;person,elderly;grandpa;,9
👴🏿,Older Man +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F474 U+1F3FF,U+1F474,man;old;person,elderly;grandpa;,9
👲,Man With Gua Pi Mao,SMILEYS & PEOPLE,U+1F472,U+1F472,gua pi mao;hat;man;person,male;guy,9
👲🏻,Man With Gua Pi Mao +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F472 U+1F3FB,U+1F472,gua pi mao;hat;man;person,male;guy,9
👲🏼,Man With Gua Pi Mao +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F472 U+1F3FC,U+1F472,gua pi mao;hat;man;person,male;guy,9
👲🏽,Man With Gua Pi Mao +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F472 U+1F3FD,U+1F472,gua pi mao;hat;man;person,male;guy,9
👲🏾,Man With Gua Pi Mao +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F472 U+1F3FE,U+1F472,gua pi mao;hat;man;person,male;guy,9
👲🏿,Man With Gua Pi Mao +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F472 U+1F3FF,U+1F472,gua pi mao;hat;man;person,male;guy,9
👳‍♀️,Woman With Turban,SMILEYS & PEOPLE,U+1F473 U+200D U+2640 U+FE0F,U+1F473 U+200D U+2640 U+FE0F,woman;person;turban,female;girl,9
👳🏻‍♀️,Woman With Turban,SMILEYS & PEOPLE,U+1F473 U+1F3FB U+200D U+2640 U+FE0F,U+1F473 U+200D U+2640 U+FE0F,woman;person;turban,female;girl,9
👳🏼‍♀️,Woman With Turban,SMILEYS & PEOPLE,U+1F473 U+1F3FC U+200D U+2640 U+FE0F,U+1F473 U+200D U+2640 U+FE0F,woman;person;turban,female;girl,9
👳🏽‍♀️,Woman With Turban,SMILEYS & PEOPLE,U+1F473 U+1F3FD U+200D U+2640 U+FE0F,U+1F473 U+200D U+2640 U+FE0F,woman;person;turban,female;girl,9
👳🏾‍♀️,Woman With Turban,SMILEYS & PEOPLE,U+1F473 U+1F3FE U+200D U+2640 U+FE0F,U+1F473 U+200D U+2640 U+FE0F,woman;person;turban,female;girl,9
👳🏿‍♀️,Woman With Turban,SMILEYS & PEOPLE,U+1F473 U+1F3FF U+200D U+2640 U+FE0F,U+1F473 U+200D U+2640 U+FE0F,woman;person;turban,female;girl,9
👳‍♂️,man wearing turban,SMILEYS & PEOPLE,U+1F473 U+200D U+2642 U+FE0F,U+1F473 U+200D U+2642 U+FE0F,man;turban,,10.3
👳🏻‍♂️,man wearing turban,SMILEYS & PEOPLE,U+1F473 U+1F3FB U+200D U+2642 U+FE0F,U+1F473 U+200D U+2642 U+FE0F,man;turban,,10.3
👳🏼‍♂️,man wearing turban,SMILEYS & PEOPLE,U+1F473 U+1F3FC U+200D U+2642 U+FE0F,U+1F473 U+200D U+2642 U+FE0F,man;turban,,10.3
👳🏽‍♂️,man wearing turban,SMILEYS & PEOPLE,U+1F473 U+1F3FD U+200D U+2642 U+FE0F,U+1F473 U+200D U+2642 U+FE0F,man;turban,,10.3
👳🏾‍♂️,man wearing turban,SMILEYS & PEOPLE,U+1F473 U+1F3FE U+200D U+2642 U+FE0F,U+1F473 U+200D U+2642 U+FE0F,man;turban,,10.3
👳🏿‍♂️,man wearing turban,SMILEYS & PEOPLE,U+1F473 U+1F3FF U+200D U+2642 U+FE0F,U+1F473 U+200D U+2642 U+FE0F,man;turban,,10.3
🧕,woman with headscarf,SMILEYS & PEOPLE,U+1F9D5,U+1F9D5,headscarf;hijab;mantilla;tichel;bandana;head kerchief,,11.1
🧕🏻,woman with headscarf,SMILEYS & PEOPLE,U+1F9D5 U+1F3FB,U+1F9D5,headscarf;hijab;mantilla;tichel;bandana;head kerchief,,11.1
🧕🏼,woman with headscarf,SMILEYS & PEOPLE,U+1F9D5 U+1F3FC,U+1F9D5,headscarf;hijab;mantilla;tichel;bandana;head kerchief,,11.1
🧕🏽,woman with headscarf,SMILEYS & PEOPLE,U+1F9D5 U+1F3FD,U+1F9D5,headscarf;hijab;mantilla;tichel;bandana;head kerchief,,11.1
🧕🏾,woman with headscarf,SMILEYS & PEOPLE,U+1F9D5 U+1F3FE,U+1F9D5,headscarf;hijab;mantilla;tichel;bandana;head kerchief,,11.1
🧕🏿,woman with headscarf,SMILEYS & PEOPLE,U+1F9D5 U+1F3FF,U+1F9D5,headscarf;hijab;mantilla;tichel;bandana;head kerchief,,11.1
👮‍♀️,Female Police Officer,SMILEYS & PEOPLE,U+1F46E U+200D U+2640 U+FE0F,U+1F46E U+200D U+2640 U+FE0F,cop;officer;person;police,female;girl,9
👮🏻‍♀️,Female Police Officer +  Modifier Fitzpatrick Type-1-2,SMILEYS & PEOPLE,U+1F46E U+1F3FB U+200D U+2640 U+FE0F,U+1F46E U+200D U+2640 U+FE0F,cop;officer;person;police,female;girl,9
👮🏼‍♀️,Female Police Officer +  Modifier Fitzpatrick Type-3,SMILEYS & PEOPLE,U+1F46E U+1F3FC U+200D U+2640 U+FE0F,U+1F46E U+200D U+2640 U+FE0F,cop;officer;person;police,female;girl,9
👮🏽‍♀️,Female Police Officer +  Modifier Fitzpatrick Type-4,SMILEYS & PEOPLE,U+1F46E U+1F3FD U+200D U+2640 U+FE0F,U+1F46E U+200D U+2640 U+FE0F,cop;officer;person;police,female;girl,9
👮🏾‍♀️,Female Police Officer +  Modifier Fitzpatrick Type-5,SMILEYS & PEOPLE,U+1F46E U+1F3FE U+200D U+2640 U+FE0F,U+1F46E U+200D U+2640 U+FE0F,cop;officer;person;police,female;girl,9
👮🏿‍♀️,Female Police Officer +  Modifier Fitzpatrick Type-6,SMILEYS & PEOPLE,U+1F46E U+1F3FF U+200D U+2640 U+FE0F,U+1F46E U+200D U+2640 U+FE0F,cop;officer;person;police,female;girl,9
👮‍♂️,man police officer,SMILEYS & PEOPLE,U+1F46E U+200D U+2642 U+FE0F,U+1F46E U+200D U+2642 U+FE0F,cop;man;officer;police,,10.3
👮🏻‍♂️,man police officer,SMILEYS & PEOPLE,U+1F46E U+1F3FB U+200D U+2642 U+FE0F,U+1F46E U+200D U+2642 U+FE0F,cop;man;officer;police,,10.3
👮🏼‍♂️,man police officer,SMILEYS & PEOPLE,U+1F46E U+1F3FC U+200D U+2642 U+FE0F,U+1F46E U+200D U+2642 U+FE0F,cop;man;officer;police,,10.3
👮🏽‍♂️,man police officer,SMILEYS & PEOPLE,U+1F46E U+1F3FD U+200D U+2642 U+FE0F,U+1F46E U+200D U+2642 U+FE0F,cop;man;officer;police,,10.3
👮🏾‍♂️,man police officer,SMILEYS & PEOPLE,U+1F46E U+1F3FE U+200D U+2642 U+FE0F,U+1F46E U+200D U+2642 U+FE0F,cop;man;officer;police,,10.3
👮🏿‍♂️,man police officer,SMILEYS & PEOPLE,U+1F46E U+1F3FF U+200D U+2642 U+FE0F,U+1F46E U+200D U+2642 U+FE0F,cop;man;officer;police,,10.3
👷‍♀️,Female Construction Worker,SMILEYS & PEOPLE,U+1F477 U+200D U+2640 U+FE0F,U+1F477 U+200D U+2640 U+FE0F,construction;hat;person;worker,female;girl;builder;,9
👷🏻‍♀️,Female Construction Worker,SMILEYS & PEOPLE,U+1F477 U+1F3FB U+200D U+2640 U+FE0F,U+1F477 U+200D U+2640 U+FE0F,construction;hat;person;worker,female;girl;builder;,9
👷🏼‍♀️,Female Construction Worker,SMILEYS & PEOPLE,U+1F477 U+1F3FC U+200D U+2640 U+FE0F,U+1F477 U+200D U+2640 U+FE0F,construction;hat;person;worker,female;girl;builder;,9
👷🏽‍♀️,Female Construction Worker,SMILEYS & PEOPLE,U+1F477 U+1F3FD U+200D U+2640 U+FE0F,U+1F477 U+200D U+2640 U+FE0F,construction;hat;person;worker,female;girl;builder;,9
👷🏾‍♀️,Female Construction Worker,SMILEYS & PEOPLE,U+1F477 U+1F3FE U+200D U+2640 U+FE0F,U+1F477 U+200D U+2640 U+FE0F,construction;hat;person;worker,female;girl;builder;,9
👷🏿‍♀️,Female Construction Worker,SMILEYS & PEOPLE,U+1F477 U+1F3FF U+200D U+2640 U+FE0F,U+1F477 U+200D U+2640 U+FE0F,construction;hat;person;worker,female;girl;builder;,9
👷‍♂️,man construction worker,SMILEYS & PEOPLE,U+1F477 U+200D U+2642 U+FE0F,U+1F477 U+200D U+2642 U+FE0F,construction;man;worker,male;boy;builder,10.3
👷🏻‍♂️,man construction worker,SMILEYS & PEOPLE,U+1F477 U+1F3FB U+200D U+2642 U+FE0F,U+1F477 U+200D U+2642 U+FE0F,construction;man;worker,male;boy;builder,10.3
👷🏼‍♂️,man construction worker,SMILEYS & PEOPLE,U+1F477 U+1F3FC U+200D U+2642 U+FE0F,U+1F477 U+200D U+2642 U+FE0F,construction;man;worker,male;boy;builder,10.3
👷🏽‍♂️,man construction worker,SMILEYS & PEOPLE,U+1F477 U+1F3FD U+200D U+2642 U+FE0F,U+1F477 U+200D U+2642 U+FE0F,construction;man;worker,male;boy;builder,10.3
👷🏾‍♂️,man construction worker,SMILEYS & PEOPLE,U+1F477 U+1F3FE U+200D U+2642 U+FE0F,U+1F477 U+200D U+2642 U+FE0F,construction;man;worker,male;boy;builder,10.3
👷🏿‍♂️,man construction worker,SMILEYS & PEOPLE,U+1F477 U+1F3FF U+200D U+2642 U+FE0F,U+1F477 U+200D U+2642 U+FE0F,construction;man;worker,male;boy;builder,10.3
💂‍♀️,Guardswoman,SMILEYS & PEOPLE,U+1F482 U+200D U+2640 U+FE0F,U+1F482 U+200D U+2640 U+FE0F,guard;guardsman;person;guardswoman,female;girl;british;queen,9
💂🏻‍♀️,Guardswoman,SMILEYS & PEOPLE,U+1F482 U+1F3FB U+200D U+2640 U+FE0F,U+1F482 U+200D U+2640 U+FE0F,guard;guardsman;person;guardswoman,female;girl;british;queen,9
💂🏼‍♀️,Guardswoman,SMILEYS & PEOPLE,U+1F482 U+1F3FC U+200D U+2640 U+FE0F,U+1F482 U+200D U+2640 U+FE0F,guard;guardsman;person;guardswoman,female;girl;british;queen,9
💂🏽‍♀️,Guardswoman,SMILEYS & PEOPLE,U+1F482 U+1F3FD U+200D U+2640 U+FE0F,U+1F482 U+200D U+2640 U+FE0F,guard;guardsman;person;guardswoman,female;girl;british;queen,9
💂🏾‍♀️,Guardswoman,SMILEYS & PEOPLE,U+1F482 U+1F3FE U+200D U+2640 U+FE0F,U+1F482 U+200D U+2640 U+FE0F,guard;guardsman;person;guardswoman,female;girl;british;queen,9
💂🏿‍♀️,Guardswoman,SMILEYS & PEOPLE,U+1F482 U+1F3FF U+200D U+2640 U+FE0F,U+1F482 U+200D U+2640 U+FE0F,guard;guardsman;person;guardswoman,female;girl;british;queen,9
💂‍♂️,man guard,SMILEYS & PEOPLE,U+1F482 U+200D U+2642 U+FE0F,U+1F482 U+200D U+2642 U+FE0F,guard;man,male;boy;british;queen,10.3
💂🏻‍♂️,man guard,SMILEYS & PEOPLE,U+1F482 U+1F3FB U+200D U+2642 U+FE0F,U+1F482 U+200D U+2642 U+FE0F,guard;man,male;boy;british;queen,10.3
💂🏼‍♂️,man guard,SMILEYS & PEOPLE,U+1F482 U+1F3FC U+200D U+2642 U+FE0F,U+1F482 U+200D U+2642 U+FE0F,guard;man,male;boy;british;queen,10.3
💂🏽‍♂️,man guard,SMILEYS & PEOPLE,U+1F482 U+1F3FD U+200D U+2642 U+FE0F,U+1F482 U+200D U+2642 U+FE0F,guard;man,male;boy;british;queen,10.3
💂🏾‍♂️,man guard,SMILEYS & PEOPLE,U+1F482 U+1F3FE U+200D U+2642 U+FE0F,U+1F482 U+200D U+2642 U+FE0F,guard;man,male;boy;british;queen,10.3
💂🏿‍♂️,man guard,SMILEYS & PEOPLE,U+1F482 U+1F3FF U+200D U+2642 U+FE0F,U+1F482 U+200D U+2642 U+FE0F,guard;man,male;boy;british;queen,10.3
🕵️‍♀️,Female Sleuth,SMILEYS & PEOPLE,U+1F575 U+FE0F U+200D U+2640 U+FE0F,U+1F575 U+FE0F U+200D U+2640 U+FE0F,person;sleuth;spy;inspector;person,female;girl;detective;sherlock;,9
